english,minihongo,japanese,english_litteral,example_minihongo,example_english,page,category
short (length),長くない,短い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
low / short (height),高くない,低い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
light (weight),重くない,軽い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
weak,強くない,弱い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
slow / late,速くない,遅い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
old (things),新しくない,古い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
young,年が少ない,若い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
wide / spacious,大きな場所だ,広い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
narrow / small space,場所が大きくない,狭い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
deep,下まで長い,深い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
shallow,下まで長くない,浅い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
thick,中まで長い,厚い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
thin / light (color),中まで長くない,薄い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
thick / fat (width),外が大きい,太い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
thin / slender,外が大きくない,細い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
round,月や太陽のような物だ,丸い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
hard / stiff,手で変えられない,固い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
soft,手で変えられる,柔らかい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
sweet,食べると良いと感じる,甘い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
bitter,食べると好きではないと感じる,苦い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
spicy / hot (taste),食べると火のように感じる,辛い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
sour,食べると変に感じる,酸っぱい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
noisy / annoying,音が大きすぎる,うるさい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
quiet,音がない,静か,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
correct / right,良いと言える,正しい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
difficult,できない事が多い,難しい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
easy,すぐにできる,易しい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
busy,することが多すぎる,忙しい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
free (time) / idle,することがない,暇,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
beautiful,とてもきれいだ,美しい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
ugly,きれいではない,醜い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
dirty,悪いものがある,汚い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
stinky / smelly,悪い空気がある,臭い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
painful,体が悪く感じる,痛い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
sleepy,寝たいと感じる,眠い,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
embarrassed / ashamed,他の人に見られたくないと感じる,恥ずかしい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
rare / unusual,あまり見ない物だ,珍しい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
nostalgic,前のことを思って良いと感じる,懐かしい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
wonderful / splendid,とても良い,素晴らしい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
rich / abundant,良い物が多い,豊か,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
poor,お金がとても少ない,貧しい,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
famous,多くの人が知っている,有名,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
complex,多くのことがある,複雑,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
simple,ことが少ない,単純,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
safe,怖いことがない,安全,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
dangerous,悪いことが起こるかもしれない,危険,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
possible,できる,可能,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
impossible,できない,不可能,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
normal / ordinary,変ではない,普通,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
special,ほかと違う,特別,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
best / greatest,一番良い,最高,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
worst / lowest,一番悪い,最低,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
enough / sufficient,もっと必要ではない,十分,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
suitable / appropriate,この事に良い,適当,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 形容詞 (Adjectives not in base)
meaning,その言葉が言うこと,意味,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
reason,なぜそうなったかということ,理由,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
method / way,どうするかということ,方法,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
purpose / goal,なぜするかということ,目的,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
result,したあとに起こること,結果,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
cause,それが起こる前にあったもの,原因,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
influence / effect,あることが他のことを変えること,影響,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
relationship,二つの物や人が一つのことに入っていること,関係,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
condition,そうなるために必要なこと,条件,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
state / condition,今どうなっているかということ,状態,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
degree / extent,どのくらいかということ,程度,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
type / kind,どんな物かということ,種類,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
problem / question,悪いことで考えなければならないこと,問題,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
answer,聞かれたことへの言葉,答え,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
question,知りたいことを聞くこと,質問,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
example,こういう物だということを見せるもの,例,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
case / situation,ある時に起こること,場合,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
opportunity,できる時があること,機会,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
possibility,起こるかもしれないということ,可能性,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
experience,したことがあるということ,経験,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
memory,前のことを心に持っていること,記憶,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
imagination,見えないものを頭の中で作ること,想像,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
impression,見た時に感じたこと,印象,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
opinion,あることについて思うこと,意見,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
thought / idea,頭の中にあること,考え,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
feeling,心で感じること,気持ち,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
attitude,人に見せる体と言葉の動き,態度,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
action / behavior,すること,行動,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
effort,強くしようとすること,努力,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
success,しようとしたことができたこと,成功,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
failure,しようとしたことができなかったこと,失敗,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
change,変わること,変化,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
progress,より良くなること,進歩,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
development,もっと大きくなること,発展,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
life,生きていること,命,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
fate / destiny,これから起こることが前に決まっているという考え,運命,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
power / strength,強く動かすことができること,力,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
ability / capacity,できることがあること,能力,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
talent,とても良くできること,才能,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
knowledge,知っていること,知識,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
common sense,全部の人が知っていること,常識,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
habit / custom,毎日すること,習慣,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
secret,他の人に言わないこと,秘密,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
promise,すると言ったこと,約束,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
responsibility,しなければならないと思うこと,責任,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
duty / obligation,しなければならないこと,義務,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
right (legal),してもいいと言われていること,権利,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
justice,良いことをするという考え,正義,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
value / worth,どのくらい良いかということ,価値,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
will / volition,するという強い心,意志,,,,word-building,よく使う言葉 (Common Words in Minihongo) > 抽象的な概念 (Abstract Concepts)
"Upon the mountain, wind arrives. The sky, so blue",山の上 / 風が来ている / 空青い,,,,,reading,haiku > 自然 (Nature)
"Sound of falling rain, heard from beyond the walls, a road at night",雨の音 / 外に聞こえる / 夜の道,,,,,reading,haiku > 自然 (Nature)
"Water of the sea, moving in great swells, white stones on the shore",海の水 / 大きく動く / 白い石,,,,,reading,haiku > 自然 (Nature)
"A white moon rises above the water, the nighttime sea",白い月 / 水の上出る / 夜の海,,,,,reading,haiku > 自然 (Nature)
"Drinking water, the sun has risen, I gaze outside",水を飲む / 太陽が出て / 外を見る,,,,,reading,haiku > 日々 (Daily Life)
"A meal together, eating with the children, inside our home",食べ物を / 子供と食べる / 家の中,,,,,reading,haiku > 日々 (Daily Life)
"Walking the path, I see the great trees, the sound of wind",道を行く / 大きい木見る / 風の音,,,,,reading,haiku > 日々 (Daily Life)
"Night arrives, watching the moon a while, I close my eyes",夜が来る / 月を見ている / 目を閉める,,,,,reading,haiku > 日々 (Daily Life)
"Waiting for someone, always present within my heart",人を待つ / 心の中に / いつもいる,,,,,reading,haiku > 心 (Heart & Mind)
"A joyful day, children laughing, I listen to the sound",楽しい日 / 子供が笑う / 音を聞く,,,,,reading,haiku > 心 (Heart & Mind)
"A child in tears, mother takes their hand, they see the light",泣く子供 / 母が手を持つ / 光見る,,,,,reading,haiku > 心 (Heart & Mind)
"Meeting someone, just a few small words, a person smiling",人に会う / 言葉を少し / 笑う人,,,,,reading,haiku > 心 (Heart & Mind)
"Blossoms split open, wind comes pouring down the mountain, the grasses stir",花開く / 山の風来る / 草動く,,,,,reading,haiku > 季節 (Seasons)
"The sky burns heavy, a person drinking water, and the day is done",空暑い / 水を飲む人 / 日が終わる,,,,,reading,haiku > 季節 (Seasons)
"The trees are changing, the mountains going crimson, the wind turns cold",木が変わる / 赤くなる山 / 風寒い,,,,,reading,haiku > 季節 (Seasons)
"A cold night settles, a person drawn close to the fire, not a sound",寒い夜 / 火に近い人 / 音もない,,,,,reading,haiku > 季節 (Seasons)
"Someone is coming, I do not even know their name, and yet they are smiling",誰か来る / 名前も知らぬ / 笑う人,,,,,reading,haiku > 人と人 (Between People)
"Let us meet again - the words still drift in the air, the road stretches on",また会おう / と言った後に / 道長い,,,,,reading,haiku > 人と人 (Between People)
"Waiting for you still, knowing well you will not come, here I remain",あなた待つ / 来ないと知って / まだここに,,,,,reading,haiku > 人と人 (Between People)
"A hand reaches out, in the eyes of the one who receives, light was seen",手与える / もらう人の目 / 光見た,,,,,reading,haiku > 人と人 (Between People)
"The day that begins, a body so impossibly small, crying into the world",始まる日 / 小さい体 / 泣いている,,,,,reading,haiku > 生と死 (Life & Death)
"What it means to live: eat, move through the world, the next day arrives",生きること / 食べて動いて / また来る日,,,,,reading,haiku > 生と死 (Life & Death)
"All people must die, entering into the dark earth, the grasses live on",人は死ぬ / 土の中入る / 草生きる,,,,,reading,haiku > 生と死 (Life & Death)
"The night comes to end, light begins its work again, the sky is still there",終わる夜 / 光始まる / 空はある,,,,,reading,haiku > 生と死 (Life & Death)
"A night with the moon, one small fire burning somewhere, someone is there",月の夜 / 火が一つある / 誰かいる,,,,,reading,haiku > 光と闇 (Light & Dark)
"The light comes at last, all of the fear finds its end, I open my eyes",光来る / 怖いの終わる / 目を開く,,,,,reading,haiku > 光と闇 (Light & Dark)
"The fire is stopped, light drains away from the room, only the body",火を止めて / 光なくなる / 体だけ,,,,,reading,haiku > 光と闇 (Light & Dark)
"The night sky opens, the moon rises pale and cold, the road turns silver",夜の空 / 月白く出る / 道白い,,,,,reading,haiku > 光と闇 (Light & Dark)
"Without any words, something moves inside the heart, two people, one moment",言葉ない / 心が動く / 人と人,,,,,reading,haiku > 言葉 (Words)
"Words written in ink, that no one will ever read, they are still there",書く言葉 / 誰も読まない / まだそこに,,,,,reading,haiku > 言葉 (Words)
"Words you hear spoken, words you have never known before, a road opens",聞く言葉 / 知らない言葉 / 道開く,,,,,reading,haiku > 言葉 (Words)
"Without saying a word, holding your hand in the quiet, this is enough",言わないで / 手を持っている / それでいい,,,,,reading,haiku > 言葉 (Words)
A: Excuse me. What is this food?,A: すみません。この食べ物は何ですか。,,,,,reading,日常の対話 (Daily Life Dialogs) > 店で (At a Shop)
B: This is good food. We made it with water and greens.,B: これは良い食べ物です。水と草で作りました。,,,,,reading,日常の対話 (Daily Life Dialogs) > 店で (At a Shop)
A: Please give me this. Do you have other things too?,A: これをください。他の物もありますか。,,,,,reading,日常の対話 (Daily Life Dialogs) > 店で (At a Shop)
B: Yes. There are new things over there.,B: はい。そこに新しい物があります。,,,,,reading,日常の対話 (Daily Life Dialogs) > 店で (At a Shop)
A: May I look at that too?,A: それも見てもいいですか。,,,,,reading,日常の対話 (Daily Life Dialogs) > 店で (At a Shop)
B: Go ahead. Please hold it in your hands.,B: どうぞ。手で持ってください。,,,,,reading,日常の対話 (Daily Life Dialogs) > 店で (At a Shop)
A: I'll buy this. Thank you.,A: これを買います。ありがとうございます。,,,,,reading,日常の対話 (Daily Life Dialogs) > 店で (At a Shop)
B: Thank you. Please come again.,B: ありがとうございます。また来てください。,,,,,reading,日常の対話 (Daily Life Dialogs) > 店で (At a Shop)
A: Oh! Where are you going?,A: あ！どこに行きますか。,,,,,reading,日常の対話 (Daily Life Dialogs) > 道で人と会う (Meeting a Friend on the Street)
B: I'm heading to the sea now. And you?,B: 今は海に行きます。あなたは？,,,,,reading,日常の対話 (Daily Life Dialogs) > 道で人と会う (Meeting a Friend on the Street)
A: I'm going home. My body feels a little bad.,A: 私は家に来ます。体が少し悪いです。,,,,,reading,日常の対話 (Daily Life Dialogs) > 道で人と会う (Meeting a Friend on the Street)
B: Your body feels bad? Please drink water and sleep.,B: 体が悪いですか？水を飲んで、寝てください。,,,,,reading,日常の対話 (Daily Life Dialogs) > 道で人と会う (Meeting a Friend on the Street)
"A: Thank you. The sea air is really good, isn't it.",A: ありがとうございます。海の空気はとても良いですね。,,,,,reading,日常の対話 (Daily Life Dialogs) > 道で人と会う (Meeting a Friend on the Street)
B: It is. But right now the wind is strong.,B: そうですね。でも今は風が強いです。,,,,,reading,日常の対話 (Daily Life Dialogs) > 道で人と会う (Meeting a Friend on the Street)
A: Please take care of yourself. Let's meet again!,A: 良く守ってください。また会いましょう！,,,,,reading,日常の対話 (Daily Life Dialogs) > 道で人と会う (Meeting a Friend on the Street)
"B: Yes, let's meet again!",B: はい、また会いましょう！,,,,,reading,日常の対話 (Daily Life Dialogs) > 道で人と会う (Meeting a Friend on the Street)
Mother: Everyone please sit down. The food is ready.,母: 座ってください。食べ物ができました。,,,,,reading,日常の対話 (Daily Life Dialogs) > 家の夜の食べ物 (Family Dinner)
Child: What are we eating now?,子供: 今は何を食べますか？,,,,,reading,日常の対話 (Daily Life Dialogs) > 家の夜の食べ物 (Family Dinner)
Mother: I made it with greens and water. It's good for your body.,母: 草と水で作りました。体に良いです。,,,,,reading,日常の対話 (Daily Life Dialogs) > 家の夜の食べ物 (Family Dinner)
Father: It looks very good. My body has felt very heavy until now.,父: とても良い物ですね。今まで体がとても重かったです。,,,,,reading,日常の対話 (Daily Life Dialogs) > 家の夜の食べ物 (Family Dinner)
"Child: Father, was this day enjoyable?",子供: 父、今の日は楽しかったですか。,,,,,reading,日常の対話 (Daily Life Dialogs) > 家の夜の食べ物 (Family Dinner)
Father: More or less. But coming home is what I like most.,父: まあまあでした。でも家に来ることがもっと好きです。,,,,,reading,日常の対話 (Daily Life Dialogs) > 家の夜の食べ物 (Family Dinner)
Mother: Please eat all of this.,母: この物を全部食べてください。,,,,,reading,日常の対話 (Daily Life Dialogs) > 家の夜の食べ物 (Family Dinner)
"Child: Yes! It's very good. Thank you, Mother.",子供: はい！とても良いです。ありがとう、母。,,,,,reading,日常の対話 (Daily Life Dialogs) > 家の夜の食べ物 (Family Dinner)
A: Excuse me. Where is the big building?,A: すみません。大きい建物はどこですか。,,,,,reading,日常の対話 (Daily Life Dialogs) > 道を聞く (Asking for Directions)
B: It's not close from here.,B: ここから近くないです。,,,,,reading,日常の対話 (Daily Life Dialogs) > 道を聞く (Asking for Directions)
A: How should I get there?,A: どう行けばいいですか。,,,,,reading,日常の対話 (Daily Life Dialogs) > 道を聞く (Asking for Directions)
"B: Please go along this road. At the big tree, turn right.",B: この道を行ってください。大きい木の前で右に入ってください。,,,,,reading,日常の対話 (Daily Life Dialogs) > 道を聞く (Asking for Directions)
A: Right at the tree. And after that?,A: 木の前で右ですね。その後は？,,,,,reading,日常の対話 (Daily Life Dialogs) > 道を聞く (Asking for Directions)
B: You can see the building. That's it.,B: 建物を見ることができます。それです。,,,,,reading,日常の対話 (Daily Life Dialogs) > 道を聞く (Asking for Directions)
A: Can I go on foot?,A: 足で行けますか。,,,,,reading,日常の対話 (Daily Life Dialogs) > 道を聞く (Asking for Directions)
"B: Yes, you can go on foot. It's not close, but it's a good road.",B: はい、足で行けます。近くないですが、良い道です。,,,,,reading,日常の対話 (Daily Life Dialogs) > 道を聞く (Asking for Directions)
A: Thank you!,A: ありがとうございます！,,,,,reading,日常の対話 (Daily Life Dialogs) > 道を聞く (Asking for Directions)
Mother: Please get up already! The sun is out.,母: もう立ってください！日が出ています。,,,,,reading,日常の対話 (Daily Life Dialogs) > 日の始まり (Morning Routine)
Child: My eyes are still heavy. I want to sleep a little more.,子供: まだ目が重いです。もう少し寝たいです。,,,,,reading,日常の対話 (Daily Life Dialogs) > 日の始まり (Morning Routine)
Mother: No. Hurry and get dressed.,母: だめです。速く服を着てください。,,,,,reading,日常の対話 (Daily Life Dialogs) > 日の始まり (Morning Routine)
Child: Okay. But the sky isn't bright right now. Will rain come?,子供: はい。でも今は空が明るくないです。雨が来ますか。,,,,,reading,日常の対話 (Daily Life Dialogs) > 日の始まり (Morning Routine)
"Mother: It does look that way. Outside is a bit cold, so please wear good clothes.",母: そうですね。外は少し寒いから、良い服を着てください。,,,,,reading,日常の対話 (Daily Life Dialogs) > 日の始まり (Morning Routine)
Child: What are we eating now?,子供: 今は何を食べますか。,,,,,reading,日常の対話 (Daily Life Dialogs) > 日の始まり (Morning Routine)
Mother: There's water and food. Please eat all of it.,母: 水と食べ物があります。全部食べてください。,,,,,reading,日常の対話 (Daily Life Dialogs) > 日の始まり (Morning Routine)
"Child: Yes, Mother. I think this day will be fun too!",子供: はい、母。今の日も楽しいと思います！,,,,,reading,日常の対話 (Daily Life Dialogs) > 日の始まり (Morning Routine)
"A: A stone doesn't move. Grass moves. Is that enough to make them different, do you think?",A: 石は動かない。草は動く。それだけで違うと思う？,,,,,reading,考える対話 (Thinking Dialogs) > 生きるとは何か (What Is Life?)
B: But water moves too. Fire moves. Moving alone doesn't mean something is alive.,B: でも水も動く。火も動く。動くだけじゃ生きているとは言えない。,,,,,reading,考える対話 (Thinking Dialogs) > 生きるとは何か (What Is Life?)
A: Then is it eating? Grass drinks soil and water. Animals eat grass.,A: じゃあ、食べること？草は土と水を飲む。動物は草を食べる。,,,,,reading,考える対話 (Thinking Dialogs) > 生きるとは何か (What Is Life?)
"B: Fire also ""eats"" wood. But fire doesn't die. Only things that can die are truly alive.",B: 火も木を「食べる」。でも火は死なない。死ぬことができる物だけが本当に生きている。,,,,,reading,考える対話 (Thinking Dialogs) > 生きるとは何か (What Is Life?)
A: Only what can die is alive? That's a strange idea.,A: 死ねる物だけが生きていると？　それは変な考えだ。,,,,,reading,考える対話 (Thinking Dialogs) > 生きるとは何か (What Is Life?)
"B: But think about it. Because it's alive, it has an end. Because there's an end, now matters more.",B: でも考えてみて。生きているから、終わりがある。終わりがあるから、今が大きい。,,,,,reading,考える対話 (Thinking Dialogs) > 生きるとは何か (What Is Life?)
A: Then a living thing with no end... is it not alive?,A: それなら、終わりのない生き物は……生きていないのか。,,,,,reading,考える対話 (Thinking Dialogs) > 生きるとは何か (What Is Life?)
B: Or it doesn't feel time. Maybe feeling time is what being alive is.,B: または時を感じない。時を感じることが、生きることかもしれない。,,,,,reading,考える対話 (Thinking Dialogs) > 生きるとは何か (What Is Life?)
A: What do you think the lights in the night sky are?,A: 夜の空の光は何だと思う？,,,,,reading,考える対話 (Thinking Dialogs) > 夜の光 (The Lights of Night)
B: They're different from the moon. The moon is large. Those small lights... I think they're suns very far outside.,B: 月と違う。月は大きい。あの小さい光は……とても外にある太陽だと思う。,,,,,reading,考える対話 (Thinking Dialogs) > 夜の光 (The Lights of Night)
A: Suns outside? But isn't there only one sun?,A: 外の太陽？　でも太陽は一つだけじゃないの？,,,,,reading,考える対話 (Thinking Dialogs) > 夜の光 (The Lights of Night)
B: I think there are very many suns. They look small because they are far out there. In truth they're very large.,B: 太陽はとても多いと思う。外にあるから小さく見える。本当はとても大きい。,,,,,reading,考える対話 (Thinking Dialogs) > 夜の光 (The Lights of Night)
A: Then is that light not the light of now?,A: じゃあ、あの光は今の光じゃないの？,,,,,reading,考える対話 (Thinking Dialogs) > 夜の光 (The Lights of Night)
B: Light takes time to travel. That light left many years ago.,B: 光は動くのに時がかかる。あの光は多い年の前に出た。,,,,,reading,考える対話 (Thinking Dialogs) > 夜の光 (The Lights of Night)
A: The sun that gave off that light - it may already be dead.,A: あの光を出した太陽は、もう死んでいるかもしれない。,,,,,reading,考える対話 (Thinking Dialogs) > 夜の光 (The Lights of Night)
"B: But to our eyes it still appears bright. Even after death, the light comes.",B: でも私たちの目には今も明るく見える。死んでも光は来る。,,,,,reading,考える対話 (Thinking Dialogs) > 夜の光 (The Lights of Night)
"A: Even when the body ends, the light it sent out is still moving...",A: 体が終わっても、出した光はまだ動いている……。,,,,,reading,考える対話 (Thinking Dialogs) > 夜の光 (The Lights of Night)
"Child: Father, why do people fight? Fighting causes sad things to happen.",子供: 父さん、なぜ人は戦うの？戦うと悲しいことが起こるのに。,,,,,reading,考える対話 (Thinking Dialogs) > なぜ人は戦うの？ (Why Do People Fight?)
"Father: That's right. When frightening things happen, people want to protect - their home, their children, the things they like.",父: そうだね。怖いことが起こると、人は守りたくなる。家を、子供を、好きな物を。,,,,,reading,考える対話 (Thinking Dialogs) > なぜ人は戦うの？ (Why Do People Fight?)
"Child: But can you protect by fighting? I think fighting makes people die, so it becomes even more sad.",子供: でも戦って守れるの？戦うと人が死ぬから、もっと悲しくなると思う。,,,,,reading,考える対話 (Thinking Dialogs) > なぜ人は戦うの？ (Why Do People Fight?)
"Father: That's truly so. In trying to stop something sad, sometimes we create something sadder.",父: 本当にそうだ。悲しいことを止めようとして、もっと悲しいことを作ることがある。,,,,,reading,考える対話 (Thinking Dialogs) > なぜ人は戦うの？ (Why Do People Fight?)
